God	Time	Kills	Deaths	Assists	Player-Dam	Dam-Taken	Gold	Creep-Dam	Struct-Dam	Healing
Fenrir	10	0.21	0.17	0.15	271.01	538.87	434.65	1258.31	17.95	0.10
Fenrir	20	0.25	0.21	0.22	382.93	668.57	414.36	1308.81	33.40	0.10
Fenrir	30	0.25	0.22	0.20	438.08	803.52	415.68	1600.19	35.37	2.57
Fenrir	40	0.28	0.24	0.27	552.64	942.16	409.41	1398.85	47.89	0.10
Freya	5	0.05	0.19	0.06	169.04	383.77	369.59	914.88	2.47	0.10
Freya	10	0.12	0.18	0.10	273.74	467.19	388.56	1168.54	13.39	0.10
Freya	20	0.27	0.17	0.19	483.15	634.03	426.51	1675.86	35.22	3.24
Freya	30	0.23	0.21	0.22	584.72	722.69	420.25	1631.05	52.93	0.10
Freya	40	0.19	0.23	0.23	616.24	836.02	404.83	1970.99	58.20	0.10
Geb	5	0.08	0.10	0.12	170.40	403.43	407.95	792.64	5.96	0.95
Geb	10	0.07	0.13	0.19	228.88	506.40	399.04	857.46	10.12	0.73
Geb	20	0.07	0.18	0.31	345.84	712.33	381.23	987.10	18.46	0.28
Geb	30	0.09	0.14	0.32	436.92	754.01	386.20	1053.85	15.34	3.65
Geb	40	0.06	0.14	0.39	532.60	922.82	383.16	1092.59	19.91	0.10
Guan Yu	5	0.11	0.14	0.17	177.76	457.14	424.95	959.41	25.14	21.40
Guan Yu	10	0.14	0.17	0.18	234.67	556.63	415.81	1058.64	29.97	32.80
Guan Yu	20	0.19	0.23	0.20	348.50	755.62	397.54	1257.11	39.63	55.59
Guan Yu	30	0.17	0.20	0.27	395.76	832.69	395.62	1335.42	42.20	73.27
Guan Yu	40	0.20	0.20	0.25	489.46	958.57	401.37	1526.45	44.01	83.59
Hades	5	0.08	0.17	0.14	174.93	414.71	408.60	890.21	17.43	0.98
Hades	10	0.11	0.18	0.17	248.96	470.43	406.25	1004.95	23.54	5.57
Hades	20	0.19	0.18	0.22	397.02	581.87	401.54	1234.43	35.75	14.75
Hades	30	0.18	0.20	0.22	484.48	685.36	391.07	1209.02	32.26	11.05
